Tabel Kemampuan Uji Laboratorium Obat dan Nappza;;;;;;;;;;
;;;;;;;;;;
NO;ZAT AKTIF;JENIS SEDIAAN;BENTUK SEDIAAN;PARAMETER UJI ;Metode Uji (PNBP);Jumlah Sampel;;Harga;"Harga Total
(sudah termasuk organoleptik)";
;;;;;;Minimal;Satuan;;;
;;;;;;;;;;
;;;;Keseragaman Bobot;Penimbangan;10;;Rp1.342.353;;
;;;;Disolusi;Spektrofotometri UV-Vis ;12;;;;
28;"PARACETAMOL; TRAMADOL HYDROCHLORIDE";Oral;Tablet;Pemerian;Organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar Tramadol HCL;;20;;Rp851.297;;
;;;;Penetapan Kadar Acetaminophen;;20;;Rp851.297;;
;;;;Disolusi - Tes 1;;12;;Rp1.550.055;;
;;;;Disolusi - Tes 2;;12;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;Rp1.342.353;;
29;PHENOBARBITAL;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Kandungan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
30;PHENYTOIN SODIUM;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;pH;pH meter;3;;;;
31;PHENYTOIN SODIUM;Oral;Kapsul;Pemerian;organoleptik;3;Kapsul;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp1.550.055;;
32;PHENYTOIN SODIUM;Oral;Kapsul Lepas Lambat;Pemerian;organoleptik;3;Kapsul;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;;12;;Rp851.297;;
33;PIRACETAM;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
34;PIRACETAM;Oral;Kapsul;Pemerian;organoleptik;3;Kapsul;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;pH meter;10;;;;
35;PIRACETAM;Oral;Sirup;Pemerian;organoleptik;3;Botol;;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
36;PIRACETAM;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;penimbangan;10;;;;
37;RISPERIDONE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi ;;12;;Rp851.297;;
38;TRAMADOL HYDROCHLORIDE;Steril;Injeksi;Pemerian;organoleptik;3;Vial;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
39;TRAMADOL HYDROCHLORIDE;Oral;Kapsul;Pemerian;KCKT;;Kapsul;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;Rp851.297;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;;;
40;TRAMADOL HYDROCHLORIDE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;;12;;;;
41;TRIFLUOPERAZINE HYDROCHLORIDE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
42;TRIHEXYPHENIDYL HYDROCHLORIDE;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;;12;;Rp31.257;;
44;DICLOFENAC POTASSIUM;Oral;Tablet;Pemerian;KCKT;;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar ;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;;10;;;;
;;;;Disolusi;Spektrofotometri UV-Vis;12;;Rp851.297;;
45;DICLOFENAC SODIUM;Oral;Tablet Lepas Tunda;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar ;;20;;;;
;;;;Pelepasan Obat;Spektrofotometri UV-Vis;12;;Rp851.297;;
46;IBUPROFEN;Oral;Drops;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
47;IBUPROFEN;Oral;Suspensi Oral;Pemerian;organoleptik;3;Botol;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar ;;20;;;;
;;;;Disolusi ;;12;;;;
;;;;pH;pH meter;3;;Rp851.297;;
48;IBUPROFEN;Oral;Tablet;Pemerian;organoleptik;3;Tablet;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp1.550.055;;
;;;;Keseragaman Sediaan;penimbangan;10;;;;
;;;;Disolusi ;Spektrofotometri UV-Vis;12;;Rp851.297;;
49;KETOPROFEN;Topikal;Gel;Pemerian;organoleptik;3;Tube;Rp31.257;;
;;;;Identifikasi;KCKT;20;;;;
;;;;Penetapan Kadar;;20;;Rp851.297;;
;;;;pH;pH meter;3;;;;
